source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,SmallvsMedium,landholding,small holdings,medium holdings,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Large/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/MediumvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,MediumvsLarge,landholding,medium holdings,large holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,4,0,4,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Arunachal Pradesh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Assam,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Assam,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Assam,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Assam,All,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Assam,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All/area/MediumvsLarge,AgCensus2015-16,T2-4,Assam,All,area,MediumvsLarge,landholding,medium operated area,large operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Assam,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Assam,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Assam,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Assam,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Assam,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Assam,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Assam,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Large/area/STvsOthers,AgCensus2015-16,T2-4,Assam,Large,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Assam,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Assam,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Assam,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Assam,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Assam,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Assam,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Medium/area/SCvsST,AgCensus2015-16,T2-4,Assam,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Medium/number/SCvsST,AgCensus2015-16,T2-4,Assam,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,1,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Assam,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/SC/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Assam,SC,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/SC/area/MarginalvsSmall,AgCensus2015-16,T2-4,Assam,SC,area,MarginalvsSmall,landholding,marginal operated area,small operated area,2,2,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/SC/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Assam,SC,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,2,2,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Assam,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Assam,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Assam,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Assam,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/SC/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Assam,SC,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Assam,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Assam,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Assam,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Assam,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Assam,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Assam,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Assam,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Assam,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Assam,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Assam,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Assam,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Assam,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Assam,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Assam,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Assam,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Assam,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Assam,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Small/area/SCvsOthers,AgCensus2015-16,T2-4,Assam,Small,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Small/area/SCvsST,AgCensus2015-16,T2-4,Assam,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Small/area/STvsOthers,AgCensus2015-16,T2-4,Assam,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Assam,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Small/number/SCvsST,AgCensus2015-16,T2-4,Assam,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Assam/Small/number/STvsOthers,AgCensus2015-16,T2-4,Assam,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Bihar,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Bihar,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Bihar,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Bihar,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Bihar,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Bihar,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,2,2,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Bihar,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Bihar,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Bihar,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Bihar,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Bihar,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Bihar,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Bihar,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Bihar,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Bihar,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Bihar,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/ST/area/MediumvsLarge,AgCensus2015-16,T2-4,Bihar,ST,area,MediumvsLarge,landholding,medium operated area,large operated area,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Bihar,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Bihar,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Bihar,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Bihar/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Bihar,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
